place_number,hall_id,room_number,monthly_rent
1,4002,192,888.6
2,4002,125,646.22
3,4003,251,858.3
4,4002,293,669.57
5,4001,293,638.47
6,4003,241,681.34
7,4001,386,600.69
8,4002,323,823.8
9,4001,321,701.36
10,4001,355,566.11
11,4002,311,899.79
12,4001,126,641.95
13,4002,268,721.78
14,4003,324,903.24
15,4003,235,762.12
16,4001,183,508.45
17,4003,108,919.92
18,4002,260,763.85
19,4002,262,617.45
20,4003,317,519.64
21,4002,287,847.01
22,4003,351,760.04
23,4002,327,716.73
24,4001,275,896.95
25,4001,376,844.3
26,4003,115,525.84
27,4001,393,605.86
28,4003,331,574.24
29,4002,258,821.97
30,4003,264,466.77
31,4003,214,734.94
32,4001,199,831.23
33,4001,360,888.38
34,4002,115,621.04
35,4003,318,860.63
36,4001,167,505.32
37,4002,225,873.23
38,4001,290,513.74
39,4002,233,648.64
40,4001,308,848.65
41,4002,296,524.96
42,4001,167,564.63
43,4002,195,811.13
44,4002,315,810.02
45,4001,273,770.57
46,4001,249,796.97
47,4002,128,721.36
48,4002,156,575.9
